mbid	band	fame_lb_raw
116a2e47-f598-4869-8a4d-c7ba56c640ec	1	588
116c1ad7-c75d-4e6a-b416-12b1d231fdee	4	10553
116ed804-4d04-43fd-809f-24e18b17233c	4	14166
118c5949-3023-4262-a646-dda45e02f49d	4	32586
119d9a00-c929-4d3d-8e6c-1e9537c7b59d	2	2125
11a683e2-c855-4b93-934c-0ecb053fb5ac	3	4936
11c29524-807b-4704-a8a1-caa156b62b66	2	2866
11feda8a-3294-48ca-b3cc-7d0968a7a289	0	101
1206c904-9282-494d-b9c7-49e8fb201e69	2	2628
122805dc-68f0-424f-8f33-7a3d141cf4f9	3	6108
122a8e96-52f5-48aa-8944-44807dbcef45	2	3242
12455562-6e62-4c14-b21c-6f9664af2aa0	4	10665
125e2339-21a3-48fe-9a61-c82c702885ff	2	2209
127778cc-999f-4724-839e-b97e83fe7b42	1	644
128b3aaa-f932-4eb3-93cd-cf1d56e88be6	3	3633
129b3493-f913-432b-a3c0-a2547bb26c41	0	280
12aac92c-26d3-4b0e-be5e-e7b86ab938b6	4	31715
12be3ef9-8df9-43d4-8d98-a855d99182dd	0	318
12f40f79-ea64-42e0-a54e-732cd32cbfa1	3	5435
12f5e840-e2fc-4c90-8741-4c0a767f2a6d	3	4229
12fa16bb-e36f-4aa5-b6db-a0fab819d8bc	0	121
1305bd7e-27ef-4236-ae87-0a7d435234ca	4	44949
1339fab0-3ad8-4b8e-afac-7b7ae34509c7	4	52376
13655113-cd16-4b43-9dca-cadbbf26ee05	4	233429
136dd883-5a23-4b75-8079-0cd658d76ba1	4	15818
139a929e-516e-46c4-9302-c06f4c84777a	4	10110
13b64a37-018d-4262-94f1-1bbb20ae65a5	0	468
13c28cae-21bc-41f4-b808-f549fb3025d4	0	144
13d8844a-8a6b-4b6a-9ef1-14237d327c9b	2	2025
13db6b6f-c818-4e62-9304-af96327920b7	2	1969
13e4cbff-72c0-4e4e-9e8c-32a353e48647	3	7911
13eae59b-8c61-4406-b6a3-ce1b17b821a8	2	3125
13f6a843-39b2-4f60-b589-cb264def26e5	1	1006
142c054f-3a4b-497a-9b98-9b480434f6b6	3	4209
144ef525-85e9-40c3-8335-02c32d0861f3	4	232886
149a04e5-a72c-44eb-8266-51e65147446e	2	1989
149b3826-8a1e-4eda-becd-ee7883e4154b	2	2171
14bd08f4-9b4b-4535-b7b3-9da685455d6d	1	777
14cb4b6d-e93e-45f5-8fb8-b0951fb4a292	2	2080
14da739b-4094-413e-9a2b-0d2ba11b65c2	1	1149
1502e715-b50a-417f-98a4-77a0a128ed0d	2	2710
15042d2b-2d4c-4451-a96a-6f547642de13	4	88243
150e14bd-915d-4574-b574-f77dd7ea72ad	4	49551
1533a61d-4744-4339-bdf5-970e2c8e036c	4	9891
156e03b6-13db-4db8-8b19-cb6f2269001b	1	1226
157a9c8b-7a6e-4d6b-8f97-c669ef124deb	0	83
157c86d6-05bd-4b75-a681-6d44e2a66db1	2	2610
157fa1d2-3399-4523-9481-edd2e2f57400	4	11679
15b478fe-83d8-4216-8a9e-46cb0efce258	0	68
15b4aace-6126-402a-96f8-131a943ce20e	4	24740
15d7c4d6-ea9e-437e-b239-cd2ce5151e12	1	1283
16231a34-9ccd-410e-8690-f74e98fe16a4	4	59789
1626de1a-509a-413f-82de-a362a2fd14a3	4	23922
1637d94f-4e53-46a6-9c27-8e8d21a0bf90	2	2709
16548cc6-c877-48d2-8157-0a6f9e7c583b	1	579
1677a134-b702-49db-93bb-ee02a06b3996	1	948
168a6eea-86cc-4061-8615-164e7a00ae9e	3	5963
16a29583-0a91-415c-ac87-6ee5c6c2c406	2	1525
16aa5cb9-8e51-4135-a0ad-120e65201468	1	1278
16b2d846-79fe-436d-b19c-3af45fbbf91e	2	2365
16cb4a74-225a-4262-a885-628083f12460	2	1810
170ad651-7b80-4baf-b772-43841efab031	3	3650
17294d99-11ea-4fb3-af2f-33e607a8c079	3	7199
172e980e-ba97-4adb-acb0-d59733c599b6	2	2647
1734fde8-6396-409e-97b0-d14c5fc614fb	3	4780
175ba729-9516-4fef-ab31-487f271909c6	1	689
175be76f-52cc-4411-957a-9c2b0fbae0b9	3	7227
176d28f2-2161-4349-bb52-4a69f12bf22a	0	128
17756a89-689c-4d94-87ce-7f52da4bd3f5	1	563
1789de4d-0f0c-4db9-b850-a823b945c883	2	2542
1797c0d7-9e0b-4277-8e45-d9dcfc4c3ac8	0	325
17bdc2bd-dcec-4267-aa4c-87238f763066	3	4763
17c70822-625b-49b6-86b1-6cffc78889bc	0	323
17e137fb-59e5-4fd7-af48-afc34995396c	4	101777
18234037-c0e5-4be3-82c9-c68923397ba0	4	11206
182f2fdb-5d69-43f5-9976-4770373c508b	3	6311
18511320-ff94-495e-8a48-96be8641caf8	3	3779
185527bf-c293-4c24-8213-ed98fb8976be	4	10880
188243fd-688c-4cad-8fc1-433929484595	1	651
1882d652-c3e5-4ac1-8f88-cf64392ec61e	3	7493
1888a285-d2df-4cbd-be26-c38680291bad	3	8824
18b404cb-bdf0-48f0-8825-19c0a6f8872b	3	4416
18e9bfd5-db23-4bc1-be0f-5710e5d656e4	4	47321
18fd16ff-1807-4951-bfcf-700018019edb	2	2283
19085489-733c-4283-a565-e0b9f2d1e939	1	610
190f4766-d636-475e-9a25-a420a213f34c	0	388
1915de2e-9ca2-4d2a-8aca-6d4819315166	3	7921
1918418c-ea1c-4d89-b0c0-e37ab12b24ed	0	313
1931ed8a-3082-4791-b40e-8141e450d81b	0	204
19499124-36d4-4ccc-b28d-04dde3d2076f	4	38289
195f9eff-9af2-43b6-87ea-bd1c0cffc254	4	23376
19710493-0b3e-42de-bbff-eaf7b11b5c75	4	13361
19a2a56f-fd53-4dea-8cec-88046efb0fd5	4	16689
19a2b956-2ca1-4009-a5d4-774426b3a725	1	800
19c0f857-523f-4b70-9400-66a217342893	2	1841
19cf9da9-4a63-4edd-9f65-816f309dc2f0	1	890
19e5ae58-e9aa-4fe1-8a3e-0edb2136cfb8	2	3520
19ea9137-1914-4c03-850a-df4c05c524e0	2	1664
19fb115d-dcf5-4dcf-8723-cb6451d3d35d	0	1
1a0b625f-372b-4cbb-989f-5896bdfce1ab	2	2783
1a1b956f-afa5-4067-b074-48bd181c647a	3	4945
1a1bc29f-f547-4905-b955-315fb4a38d12	4	28196
1a39ecb9-103a-4db5-8138-ba8e3138b575	0	95
1a472ec5-97b1-482d-b17a-9a3d6b3dbcaf	3	4311
1a4ab3a6-fa9a-4a5b-8bf3-31217f9ca517	1	629
1a851e93-ef32-4569-927b-ccd39608ea34	1	1106
1aa7dcb0-9c9b-4609-a7a5-bdeee26e39e8	4	17014
1ad27b99-58eb-43ac-96f8-8d898ed0dab9	0	49
1ad28cfc-cf6f-4f0c-a902-5066a0d02fff	4	11338
1b16f1f9-fbed-4be3-b6e4-a85d91dde293	0	301
1b193067-a17d-4f5b-b318-7753f96dbf67	1	660
1b5a4471-06cd-4d35-8cb6-c7116bbe901b	0	13
1b7ca15d-dfee-4b1a-a2f1-41962096c3c8	2	3327
1b7de629-8e8a-4748-b402-bd58de30e5f1	3	6827
1ba748f9-2fe1-435d-bc92-15d085d04577	0	103
1ba985b5-c215-4bcc-89f1-2a66b6213bc9	2	1976
